,Capacity,Total production,Capacity factor,Capacity Factor,Max production,Type
INLAND PV,28.43472700215397,29.184487939215146,0.11716527293848626,3.331562550138715,19.180945312289776,Elec
INLAND WIND_ONSHORE,20.499999999976747,39.75117756853089,0.22135637358601168,4.537805658508092,16.29011998825436,Elec
OFFSHORE WIND_OFFSHORE,9.299999822205443,31.86004081960415,0.3910743043734311,3.6369909611420264,8.131656524133264,Elec
INLAND CCGT,10.911424766715617,48.37864308231603,0.5061370324245628,5.522676150949319,10.911424766474692,Elec
INLAND OCGT,8.244542736398923e-06,1.5659646597186316e-05,0.21682595957657308,1.787630890089762e-06,8.244296221480385e-06,Elec
OFFSHORE FUEL_CELLS,1.1618615787568816e-07,3.210044059638665e-07,0.3153933243885832,3.664433858035005e-08,1.1595776677726185e-07,Elec
ZEEBRUGGE FUEL_CELLS,1.2172220478936963e-07,3.638632599648407e-07,0.3412434230413969,4.15369018224704e-08,1.2147040882954144e-07,Elec
INLAND FUEL_CELLS,1.4466666271943678e-07,4.7352188164308924e-07,0.37365214835169325,5.405500931998736e-08,1.4442685313907712e-07,Elec
OFFSHORE ELECTROLYSIS_PLANTS,1.563191389886655,5.451273124551696,0.39809037882400056,0.6222914525743944,1.5631913811854086,H2
ZEEBRUGGE ELECTROLYSIS_PLANTS,3.34122810802058,6.933201681393828,0.2368773856698537,0.7914613791545465,3.3412280991272167,H2
INLAND ELECTROLYSIS_PLANTS,0.13419206466763764,0.2558118561615439,0.21761545108822147,0.029202266685107753,0.1341920554757991,H2
INLAND SMR,2.1415308234832613e-07,8.056342900958699e-07,0.42944693443427917,9.19673847141404e-08,1.2763000602843384e-07,H2
INLAND BIOMETHANE,1.652643073897373,14.08051899012778,0.9726027397620954,1.607365181521436,1.6526430185196028,CH4
ZEEBRUGGE METHANATION,5.091881469212711e-07,4.521528939662204e-07,0.10136847740305763,5.161562716509365e-08,1.179331302585176e-07,CH4
INLAND METHANATION,4.914221013866932e-07,2.1501068128593543e-07,0.049946061137772196,2.4544598320312265e-08,2.7097431990283844e-08,CH4
ZEEBRUGGE DAC,2.94197455238375e-08,8.945475718624744e-08,0.34710464317675926,1.0211730272402676e-08,2.333209958944698e-08,CO2
INLAND DAC,0.9203563775630472,3.716872137745836,0.461017582633472,0.42430047234541507,0.9203563736860657,CO2
INLAND PCCC_CCGT,1.9136492914048904,13.683520789012016,0.8162654250108483,1.5620457521703215,1.9136492856297496,CO2
INLAND PCCC_OCGT,6.85637634444645e-07,5.7525295147771355e-06,0.9577675122668522,6.56681451458577e-07,6.78318181959494e-07,CO2
OFFSHORE DESALINATION,0.1681868619982651,1.4733169111048026,1.0000000000000002,0.16818686199826513,0.1681868619982651,H2O
