,Preinstalled capacity,Added capacity,Total capacity,Max capacity
BATTERIES power,0.0,0.4659598082247139,0.4659598082247139,200.0
BATTERIES energy,0.0,1.8146506936312483,1.8146506936312483,1000
H2O_STORAGE power,0.0,0.2542167773640963,0.2542167773640963,1000
H2O_STORAGE energy,0.0,234.09898180945362,234.09898180945362,10000.0
H2_STORAGE power,0.0,0.0,0.0,250.0
H2_STORAGE energy,0.0,0.0,0.0,250.0
DESALINATION,0.0,0.16815110765482863,0.16815110765482863,Not given
ELECTROLYSIS_PLANTS,0.0,1.5627611745700223,1.5627611745700223,100
FUEL_CELLS,0.0,0.0,0.0,100
WIND_OFFSHORE,0.0,9.3,9.3,9.3
