index,final demand,consumption for CO2,consumption for hydrogen,storage charging,import,production from gas,production,storage discharging
Jan,-13.65005136278536,-0.9509507660700172,-1.7413790615668339,-0.3123603192512405,2.1462181549443926,4.596916778133142,10.06740082179174,0.2605995646027829
Feb,-12.394431158314251,-0.7565824716054879,-0.9219441380689523,-0.3551189291639165,2.563931890253453,4.471876746270033,7.50126045136208,0.28289961360232657
Mar,-12.828728206095608,-0.9032319832084704,-1.4124208022302036,-0.30204227875782547,2.4259838870549113,4.335906673730541,8.857396123116084,0.24756068198468198
Apr,-10.825127214642158,-0.8683067363817645,-0.8813912589424586,-0.5809468986849048,1.0000748067774483,4.595776976510393,7.395796577888707,0.47175695819241525
May,-9.464230360336913,-1.1370289022603182,-1.521462624123159,-0.6941353511479377,0.6209284245581984,3.7632087153062908,8.210797581026233,0.5382738068760282
Jun,-8.990087667116205,-1.1905024275681717,-1.4343603921832304,-0.634065133127742,0.5296639412058993,3.543693310895633,7.941087561028188,0.5352722231396818
Jul,-8.330172277494324,-1.2907530826598768,-1.7864384047899775,-0.5855417135356059,0.39284385682963346,3.5864471454040223,7.836006660991959,0.47195300953168395
Aug,-8.523892541122656,-0.9803481008905194,-1.189613277202381,-0.6107753322105589,0.5481122329734948,3.9519236925523624,6.600830499179467,0.4743238477700881
Sep,-8.919017069425784,-1.1922889256145643,-1.297816243683291,-0.48620580072115194,0.5665918393689056,3.606885972284411,7.639580247513029,0.4028892542331424
Oct,-10.80285595567325,-0.6682304194275875,-0.38346549583282613,-0.26188386527497687,2.466072283152405,4.699079512796222,5.0933750110355955,0.22620411059259352
Nov,-11.899037898693958,-1.141318607446133,-2.11688343216037,-0.38908804699306915,0.9694894757363441,3.5876375791683373,11.207320482347527,0.28549507104943667
Dec,-12.792368288299409,-1.1808219410756915,-2.394073620795405,-0.38530590663085296,0.8886932865420883,3.639151945443155,12.444856641795525,0.33978263342800924
