,Capacity,Total production,Capacity factor,Capacity Factor,Max production,Type
INLAND PV,28.346340328171696,29.095255312736032,0.11717125169601027,3.321376177252972,19.144696339017194,Elec
INLAND WIND_ONSHORE,20.499999999984862,39.72502110764958,0.22121072005612494,4.5348197611472125,16.290119991756956,Elec
OFFSHORE WIND_OFFSHORE,7.314706591407937,24.626779356573568,0.38433205038729257,2.8112761822572563,6.2795384334295745,Elec
INLAND CCGT,11.014993506712045,50.37850142047924,0.5221038467508385,5.750970481789867,11.014993506578312,Elec
INLAND OCGT,4.781915162386179e-06,9.078436941891965e-06,0.2167230521415786,1.0363512490744252e-06,4.781742221737494e-06,Elec
OFFSHORE FUEL_CELLS,7.704278538918795e-08,2.521416866775761e-07,0.37360146599752536,2.8783297565933343e-08,7.68276457964744e-08,Elec
ZEEBRUGGE FUEL_CELLS,8.633535324417077e-08,2.6237921290190284e-07,0.3469258399676717,2.995196494313959e-08,8.615866363617278e-08,Elec
INLAND FUEL_CELLS,1.0031530877446648e-07,3.334274123500371e-07,0.3794285284997758,3.806248999429647e-08,1.0014704368288383e-07,Elec
OFFSHORE ELECTROLYSIS_PLANTS,2.849393614038024e-07,6.02582579742915e-07,0.24141264788824332,6.878796572407705e-08,2.798046387557782e-07,H2
ZEEBRUGGE ELECTROLYSIS_PLANTS,3.886432150600769,8.500855548627538,0.2496936167846462,0.9704173000716367,3.886432144148787,H2
INLAND ELECTROLYSIS_PLANTS,0.005765985295016933,0.010831005026351842,0.21443275271047688,0.0012364160988986121,0.00576597884423846,H2
INLAND SMR,1.500357676044587e-07,5.615454165907082e-07,0.42725384141264605,6.410335805830002e-08,8.919567458927118e-08,H2
INLAND BIOMETHANE,1.6526413196361296,14.080504043169736,0.9726027397170417,1.6073634752476869,1.6526412815497709,CH4
ZEEBRUGGE METHANATION,3.5765080570235213e-07,3.2158604128021903e-07,0.10264407271184192,3.671073530596108e-08,8.316607414108249e-08,CH4
INLAND METHANATION,3.4493313023002903e-07,1.509959216860631e-07,0.04997193905360072,1.723697736142273e-08,1.901894048394581e-08,CH4
ZEEBRUGGE DAC,2.071449358131112e-08,6.362327506952139e-08,0.3506207340044267,7.2629309440092906e-09,1.6453735389806698e-08,CO2
INLAND DAC,0.8808427841828795,3.7047698159583615,0.48012986693725823,0.42291892876237,0.8808427814890267,CO2
INLAND PCCC_CCGT,2.0313862440377055,14.368911236078345,0.8074715852780744,1.6402866707851993,2.0313862400362503,CO2
INLAND PCCC_OCGT,4.0009627607658743e-07,3.3374603901835617e-06,0.9522423771408922,3.809886290163883e-07,3.9483594586159325e-07,CO2
OFFSHORE DESALINATION,5.178827836085516e-09,4.536653184411506e-08,1.0000000000001308,5.1788278360861936e-09,5.178827836085516e-09,H2O
