,Capacity,Total production,Capacity factor,Capacity Factor,Max production,Type
INLAND PV,28.324098878608314,28.737847844242285,0.11582279287991211,3.2805762379272014,18.83321532239998,Elec
INLAND WIND_ONSHORE,9.0,17.79315593247549,0.22568690934139382,2.0311821840725446,7.15176,Elec
OFFSHORE WIND_OFFSHORE,8.0,26.783738126131244,0.3821880440372609,3.0575043522980874,6.984640000000001,Elec
INLAND CCGT,11.904929008442798,61.32241655887316,0.5880149186879293,7.000275862885062,11.904929008442798,Elec
INLAND OCGT,0.0,0.0,No capacity installed,0.0,0.0,Elec
OFFSHORE FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
ZEEBRUGGE FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
INLAND FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
OFFSHORE ELECTROLYSIS_PLANTS,0.08647282922579101,0.19732588931167913,0.26049554123281166,0.022525786451104923,0.08647282922579101,H2
ZEEBRUGGE ELECTROLYSIS_PLANTS,0.9727445017309242,1.5357273490657846,0.18022342033864208,0.1753113412175553,0.9727445017309242,H2
INLAND ELECTROLYSIS_PLANTS,0.0,0.0,No capacity installed,0.0,0.0,H2
INLAND SMR,0.0,0.0,No capacity installed,0.0,0.0,H2
INLAND BIOMETHANE,1.6526431315163703,14.080519480517918,0.9726027397259198,1.6073652375020453,1.6526431315163703,CH4
ZEEBRUGGE METHANATION,0.0,0.0,No capacity installed,0.0,0.0,CH4
INLAND METHANATION,0.0,0.0,No capacity installed,0.0,0.0,CH4
ZEEBRUGGE DAC,0.0,0.0,No capacity installed,0.0,0.0,CO2
INLAND DAC,0.7358925008238572,3.6648370008269557,0.568507475961348,0.41836038822225524,0.7358925008238572,CO2
INLAND PCCC_CCGT,2.5208852130496635,18.093291638924434,0.8193329233424641,2.0654442510187714,2.520885213049665,CO2
INLAND PCCC_OCGT,0.0,0.0,No capacity installed,0.0,0.0,CO2
OFFSHORE DESALINATION,0.006088050392190416,0.05333132143559773,1.0000000000001816,0.006088050392191522,0.006088050392190416,H2O
