,Preinstalled capacity,Added capacity,Total capacity,Max capacity
BATTERIES power,0.0,0.032136340193010586,0.032136340193010586,200.0
BATTERIES energy,0.0,0.063163756598048,0.063163756598048,1000
H2O_STORAGE power,0.0,0.017282984533699048,0.017282984533699048,1000
H2O_STORAGE energy,0.0,6.619451020852701,6.619451020852701,10000.0
H2_STORAGE power,0.0,0.0,0.0,250.0
H2_STORAGE energy,0.0,0.0,0.0,250.0
DESALINATION,0.0,0.006088050392190416,0.006088050392190416,Not given
ELECTROLYSIS_PLANTS,0.0,0.08647282922579101,0.08647282922579101,100
FUEL_CELLS,0.0,0.0,0.0,100
WIND_OFFSHORE,0.0,8.0,8.0,8
