index,final demand,consumption for CO2,storage charging,consumption for hydrogen,import,production from gas,production,storage discharging
Jan,-13.650051362785364,-1.0246375648454742,-0.22269556601121837,-0.06694648815565149,2.6737650034442986,6.053790226957149,6.577980394820066,0.1839902645747417
Feb,-12.394431158314253,-0.8326403467081632,-0.21842914235385985,-0.0811618496634587,2.8120804810665585,5.738406608432143,5.228083685181326,0.17202279828562173
Mar,-12.82872820609561,-1.0182963329136905,-0.31926790989611775,-0.19669416007691215,2.442377202999907,5.473121878606176,6.661551132247443,0.25265449969010023
Apr,-10.825127214642158,-1.0739718442087152,-0.49460783524961455,-0.17249070273666164,1.3649897062013392,5.148252473660013,5.946891180665452,0.4126692225294988
May,-9.464230360336913,-1.3330088173980656,-0.5856434939819107,-0.29959917338983316,0.5481019447453365,4.619688143887946,6.363794369890652,0.45701334016980766
Jun,-8.990087667116205,-1.3412487715515227,-0.560151513401494,-0.31665961252684394,0.4134250786096039,4.3588810114616745,6.246704829200032,0.47545122386191746
Jul,-8.330172277494325,-1.4362833647004318,-0.4847593309372007,-0.41014629211412484,0.3289302507248359,4.3418994053192845,5.873092494393251,0.3866864867209909
Aug,-8.523892541122656,-1.3603273746103133,-0.4935374327941195,-0.30947019697120165,0.38657173801565203,4.883511682310715,5.2746375128337295,0.3908985699384341
Sep,-8.919017069425784,-1.3412270144585543,-0.4259407888074878,-0.19981435502561926,0.5928624266597016,4.580103414715795,5.706789491817859,0.3438048686915051
Oct,-10.80285595567325,-0.8835180265449678,-0.22674603297818935,-0.07732788664565879,2.253445131389292,5.98261891285115,3.9121365708157056,0.2000442169206609
Nov,-11.899037898693958,-1.154364657398119,-0.21415241200739882,-0.08730699640114604,1.4386707609186948,5.004229759759148,7.362976739067086,0.1509393070670892
Dec,-12.792368288299413,-1.1873685471910544,-0.25242073752779526,-0.12434612193778719,1.5027068303074191,5.137913040909784,8.160103501917026,0.22525370858902682
