,Capacity,Total production,Capacity factor,Capacity Factor,Max production,Type
INLAND PV,28.32500056644568,28.73886874835643,0.11582322026073012,3.2806927794927434,18.83308598233185,Elec
INLAND WIND_ONSHORE,9.0,17.79305982023812,0.22568569026177218,2.0311712123559498,7.15176,Elec
OFFSHORE WIND_OFFSHORE,8.0,26.77720960721021,0.3820948859476343,3.0567590875810744,6.92992,Elec
INLAND CCGT,11.905298546215478,61.3135724077195,0.587911863731796,6.999266256588984,11.905298546215478,Elec
INLAND OCGT,0.0,0.0,No capacity installed,0.0,0.0,Elec
OFFSHORE FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
ZEEBRUGGE FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
INLAND FUEL_CELLS,0.0,0.0,No capacity installed,0.0,0.0,Elec
OFFSHORE ELECTROLYSIS_PLANTS,0.0,0.0,No capacity installed,0.0,0.0,H2
ZEEBRUGGE ELECTROLYSIS_PLANTS,1.0635203437646072,1.694606258055679,0.18189421961561383,0.19344820297439258,1.0635203437646072,H2
INLAND ELECTROLYSIS_PLANTS,0.0,0.0,No capacity installed,0.0,0.0,H2
INLAND SMR,0.0,0.0,No capacity installed,0.0,0.0,H2
INLAND BIOMETHANE,1.6526431315163697,14.080519480517914,0.9726027397259199,1.6073652375020449,1.6526431315163697,CH4
ZEEBRUGGE METHANATION,0.0,0.0,No capacity installed,0.0,0.0,CH4
INLAND METHANATION,0.0,0.0,No capacity installed,0.0,0.0,CH4
ZEEBRUGGE DAC,0.0,0.0,No capacity installed,0.0,0.0,CO2
INLAND DAC,0.7357277501132331,3.6646443834915368,0.5686048947828478,0.41833839994195626,0.7357277501132331,CO2
INLAND PCCC_CCGT,2.520565836257833,18.09050672537249,0.8193106122468272,2.065126338512841,2.520565836257834,CO2
INLAND PCCC_OCGT,0.0,0.0,No capacity installed,0.0,0.0,CO2
OFFSHORE DESALINATION,0.0,0.0,0,0.0,0.0,H2O
